Data;?tem;Respons?vel;Curso;Valor
02/10/2021;GERADOR FUNÇÃO DE BANCADA 20MHZ/MINIPA;Daniel;T?cnico em Eletr?nica;R$ 1.149,99 
02/10/2021;GERADOR FUNÇÃO DE BANCADA 20MHZ/MINIPA;Daniel;T?cnico em Mecatr?nica;R$ 1.149,99 
02/10/2021;GERADOR FUNÇÃO DE BANCADA 20MHZ/MINIPA;Daniel;T?cnico em Eletr?nica;R$ 1.149,99 
02/10/2021;OSCILOSCÓPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.839,90 
02/10/2021;OSCILOSCÓPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;T?cnico em Eletr?nica;R$ 1.839,90 
02/10/2021;OSCILOSCÓPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;T?cnico em Mecatr?nica;R$ 1.839,90 
02/10/2021;OSCILOSCÓPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;T?cnico em Eletr?nica;R$ 1.839,90 
02/10/2021;OSCILOSCÓPIO DIGITAL 60 MHZ/MIT MEASTECH;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.839,90 
12/08/2021;CONJUNTO DIDÁTICO BÁSICO DE AUTOMAÇÃO IN;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 8.769,00 
12/08/2021;CONJUNTO ESTUDO ELETRÔN.ANAL. DIDATECH;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 2.874,00 
26/06/2021;MULTÍMETRO ANALÓGICO (ANEXO);Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 50,00 
26/06/2021;MULTÍMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind?strial Administra??o;R$ 162,75 
26/06/2021;MULTÍMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind?strial Administra??o;R$ 162,75 
26/06/2021;MULTÍMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;T?cnico em Mecatr?nica;R$ 162,75 
26/06/2021;MULTÍMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 162,75 
26/06/2021;MULTÍMETRO DIGITAL TRUE RMS CATEGORIA II;Daniel;T?cnico em Mecatr?nica;R$ 162,75 
18/06/2021;BANCADA P/ MÁQUINA  LIMAR E FURAR DC 1465;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 890,00 
04/06/2021;PAINEL DE FERRAMENTAS PARA BANCADA DC 99;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 394,00 
04/06/2021;PAINEL DE FERRAMENTAS PARA BANCADA DC 99;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 394,00 
26/05/2021;BALCÃO P/ ATENDIMENTO SEMI-CÍRCULO DC-562;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 1.400,00 
12/05/2021;CHAVE DE PARTIDA SUAVE SOFT START;Daniel;T?cnico em Mecatr?nica;R$ 556,70 
11/05/2021;INVERSOR DE FREQÜÊNCIA TRIFÁSICO 1CV;Daniel;T?cnico em Mecatr?nica;R$ 530,74 
11/05/2021;INVERSOR DE FREQÜÊNCIA TRIFÁSICO 1CV;Daniel;Aprendizagem Ind?strial Administra??o;R$ 530,74 
11/05/2021;INVERSOR DE FREQÜÊNCIA TRIFÁSICO 1CV;Daniel;T?cnico em Eletr?nica;R$ 530,74 
11/05/2021;INVERSOR DE FREQÜÊNCIA TRIFÁSICO 1CV;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 530,75 
08/05/2021;SISTEMA DE DESENVOLVIMENTO DE LÓGICA CPLD;Daniel;Aprendizagem Ind?strial Administra??o;R$ 831,60 
08/05/2021;SISTEMA DE DESENVOLVIMENTO DE LÓGICA CPLD;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 831,60 
06/05/2021;BANCADA PARA ENSAIOS ELETROELETRÔNICOS;Daniel;T?cnico em Eletr?nica;R$ 1.240,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial Administra??o;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial Almoxarifado;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 312,00 
04/05/2021;CARTEIRA  P/ DESENHO C/ TAMPO RECLINAVEL;Daniel;Aprendizagem Ind?strial Administra??o;R$ 312,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Mecatr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Eletr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Eletr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;Aprendizagem Ind?strial Administra??o;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Mecatr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Eletr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;Aprendizagem Ind?strial em Mec?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMATICA - 1500 X 800 X 735 ,MM;Daniel;T?cnico em Eletr?nica;R$ 327,00 
04/05/2021;MESA PARA INFORMÁTICA - L166 ARTICO -;Daniel;T?cnico em Desenvolvimento de Sistemas;R$ 327,00 
23/04/2021;PAQUÍMETRO QUADRID.UNIV. 150MM-0,05MM - MITUTOYO;Daniel;Aprendizagem Ind?strial Administra??o;R$ 74,98 
23/04/2021;ARMÁRIO PARA VESTIÁRIO EM LAMINADO;Daniel;Aprendizagem Ind?strial Administra??o;R$ 974,00 
23/04/2021;ARMÁRIO ALTO POST FORMING PARA PASTA SUS;Daniel;Aprendizagem Ind?strial Administra??o;R$ 1.176,00 
